"ID"	"ERR2493560"	"ERR2493561"	"ERR2493562"	"ERR2493563"	"ERR2493564"	"ERR2493565"	"ERR2493566"	"ERR2493567"	"ERR2493568"	"ERR2493569"	"ERR2493570"	"ERR2493571"	"ERR2493572"	"ERR2493573"	"ERR2493574"	"ERR2493575"	"ERR2493576"	"ERR2493577"	"ERR2493578"	"ERR2493579"	"ERR2493580"	"ERR2493581"	"ERR2493582"	"ERR2493583"	"ERR2493584"	"ERR2493585"	"ERR2493586"	"ERR2493587"	"ERR2493588"	"ERR2493589"	"ERR2493590"	"ERR2493591"	"ERR2493592"	"ERR2493593"	"ERR2493594"	"ERR2493595"	"ERR2493596"	"ERR2493597"	"ERR2493598"	"ERR2493599"	"ERR2493600"	"ERR2493601"	"ERR2493602"	"ERR2493603"	"ERR2493604"	"ERR2493605"	"ERR2493606"	"ERR2493607"	"ERR2493608"	"ERR2493609"	"ERR2493610"	"ERR2493611"	"ERR2493612"	"ERR2493613"	"ERR2493614"	"ERR2493615"	"ERR2493616"	"ERR2493617"	"ERR2493618"	"ERR2493619"	"ERR2493620"	"ERR2493621"	"ERR2493622"	"ERR2493623"	"ERR2493624"	"ERR2493625"	"ERR2493626"	"ERR2493627"	"ERR2493628"	"ERR2493629"	"ERR2493630"	"ERR2493631"	"ERR2493632"	"ERR2493633"	"ERR2493634"	"ERR2493635"	"ERR2493636"	"ERR2493637"	"ERR2493638"	"ERR2493639"	"ERR2493640"	"ERR2493641"	"ERR2493642"	"ERR2493643"	"ERR2493644"	"ERR2493645"	"ERR2493646"	"ERR2493647"	"ERR2493648"	"ERR2493649"	"ERR2493650"	"ERR2493651"	"ERR2493652"
"Seq21"	0	0	0	0	0	8	0	0	1393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	26	0	7668	0	0	39	0	2038	18	0	41	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	25	1840	91	1519	0	0	0	0	0	0	0	0	0	0	17	26	89	48	787	46	1671	2717	0	0	0	0	1259	58	3383	1830	131	0	0	0	0	0	74	113	0	276	0	0	0
"Seq22"	0	60	125	249	101	54	224	39	551	0	1094	39	104	217	30	181	94	154	7	68	0	0	476	630	1177	448	1924	0	426	513	625	393	60	294	54	540	0	2287	130	228	1651	61	44	41	316	0	68	577	223	50	0	484	311	493	5	283	0	157	86	64	280	216	1099	0	13	254	128	55	133	38	510	904	0	631	38	0	121	0	714	728	139	33	0	26	409	67	171	70	49	892	901	0	0
"Seq23"	0	0	440	108	1396	11	1104	91	174	0	82	702	120	273	64	962	62	404	0	37	341	0	380	42	1207	32	522	0	0	1056	150	1394	27	300	0	1388	0	0	369	0	679	128	636	27	605	0	0	1021	0	299	0	205	25	216	0	43	491	198	601	87	35	248	294	0	27	0	1467	86	346	160	182	522	0	64	946	47	327	0	367	315	170	34	32	351	0	404	75	137	50	457	0	25	0
"Seq24"	27	0	816	29	1258	0	851	0	0	0	205	1557	27	263	0	1172	19	295	0	45	1077	0	155	0	669	0	59	0	0	314	0	555	0	31	0	455	62	0	541	0	51	103	1682	0	384	0	0	5289	0	384	0	0	0	0	0	21	1069	48	654	0	0	1023	46	0	26	31	989	41	208	139	34	83	21	58	627	0	160	0	0	0	140	0	90	487	0	373	71	331	24	81	0	0	0
"Seq25"	76	36	27	274	143	217	148	42	0	46	178	85	251	78	24	282	193	37	66	145	273	66	566	213	204	208	1566	0	275	116	163	393	424	114	216	108	77	35	241	55	155	73	311	29	927	98	69	155	100	62	566	144	1269	621	59	24	36	81	282	45	35	106	57	30	45	76	97	324	119	236	34	808	73	216	107	956	381	2107	49	248	338	0	79	0	34	74	45	41	1539	2937	1067	74	94
"Seq26"	0	0	62	75	35	0	134	286	151	0	177	0	187	50	0	0	166	109	0	489	414	349	245	1071	2065	491	1346	0	49	128	159	51	656	961	191	305	0	0	0	1900	571	206	93	51	322	0	76	140	55	98	220	35	125	236	0	439	49	1749	69	837	154	45	57	0	35	184	232	202	185	101	310	374	0	354	101	284	103	41	566	170	137	0	30	0	1588	49	121	60	40	1803	0	0	0
"Seq27"	0	0	0	0	0	11	0	0	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7349	0	0	51	0	1784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	24	1645	79	1312	0	0	0	0	0	0	0	0	0	0	23	23	93	50	694	36	1692	2639	0	0	0	0	874	37	2946	1485	115	0	0	12	0	33	72	110	0	255	0	0	0
"Seq28"	0	41	108	183	78	39	185	0	427	0	1024	58	66	170	30	167	81	137	0	44	0	0	444	561	987	403	1880	0	350	477	578	358	73	258	59	513	0	2122	140	191	1450	54	72	44	269	0	75	507	216	62	0	418	275	429	0	238	24	140	101	87	284	167	1159	0	15	231	84	0	117	44	442	789	0	643	25	0	131	0	773	686	105	0	17	25	342	76	156	69	46	740	723	0	0
"Seq29"	0	0	206	314	1459	0	573	432	340	0	369	399	124	111	73	1168	67	254	0	254	554	105	654	425	841	47	309	0	19	55	13	913	0	20	0	581	6	1147	734	70	211	0	70	0	107	0	43	965	649	406	63	133	52	97	0	173	157	102	0	84	43	183	268	0	37	113	1191	160	278	38	372	698	0	237	640	116	235	0	661	366	161	52	402	384	68	473	149	185	175	297	414	0	0
"Seq30"	0	0	99	56	49	33	124	264	125	0	204	0	176	56	0	31	137	96	0	481	382	326	212	1068	1844	544	1344	0	37	119	174	49	523	882	174	306	0	0	0	1666	462	215	86	45	260	0	90	116	82	103	213	58	127	193	0	462	40	1736	0	864	150	40	75	0	45	158	248	217	174	70	312	333	0	351	102	235	87	46	518	150	156	0	25	25	1385	73	127	67	40	1635	0	0	0
"Seq31"	58	29	0	275	124	184	147	42	37	43	178	79	245	61	35	263	165	25	0	178	236	55	451	196	180	199	1436	0	276	120	206	357	387	104	193	83	84	54	239	47	152	68	293	40	929	64	87	203	94	65	518	129	1134	576	56	50	54	71	258	42	34	105	54	30	32	61	79	275	104	225	31	644	81	239	131	883	340	1669	56	171	319	0	82	0	46	66	53	39	1521	2787	997	67	84
"Seq32"	29	0	715	0	1011	0	700	0	0	0	124	1312	30	218	0	974	0	269	0	30	868	0	114	0	619	0	65	0	0	298	0	427	0	0	0	375	53	0	508	7	48	88	1577	0	293	0	0	4600	0	535	0	0	0	0	0	0	751	41	507	0	13	752	42	0	31	0	904	47	158	124	26	71	26	36	582	30	103	0	0	0	85	0	78	450	0	305	51	253	27	65	0	0	0
"Seq33"	0	513	77	57	0	14	0	30	0	0	1192	0	343	246	42	0	832	797	0	1889	1851	470	313	34	34	0	0	0	277	71	692	0	48	0	107	0	0	1002	683	339	1224	273	39	79	669	0	26	653	287	25	116	0	0	0	0	228	18	0	114	19	178	399	401	0	0	214	81	78	93	535	29	89	0	422	0	8	10	0	0	0	76	29	67	23	33	33	295	98	192	222	190	0	0
"Seq34"	0	0	71	39	0	0	53	48	0	0	812	905	738	145	137	497	371	419	0	353	257	46	67	209	193	114	300	0	22	504	581	117	204	849	123	106	40	191	691	104	324	845	266	207	352	0	0	609	50	25	55	0	46	28	0	204	170	427	13	473	425	237	87	0	0	221	94	55	77	73	58	95	0	544	0	0	0	55	83	0	91	32	316	108	359	84	385	140	72	324	910	281	782
"Seq35"	0	547	85	32	0	19	0	25	0	0	1116	0	313	217	33	0	763	749	0	1887	1708	458	321	18	27	19	0	0	242	77	873	0	34	35	109	0	0	924	756	300	1194	243	39	87	683	0	36	671	268	32	107	5	0	0	0	184	0	0	126	19	172	363	409	0	9	203	97	67	62	545	33	61	0	443	0	0	0	0	0	0	70	26	71	22	41	23	293	83	152	212	145	0	0
"Seq36"	0	0	0	441	0	0	0	952	19	0	162	448	353	0	1157	0	63	0	0	279	24	32	0	2319	41	517	0	12	0	0	0	72	84	0	0	35	0	626	0	2132	433	2734	82	222	83	0	407	0	635	0	0	41	37	70	0	329	0	136	112	109	1300	0	52	0	0	151	54	0	74	0	0	370	0	411	0	0	0	142	0	177	64	0	64	0	0	0	89	0	195	0	0	0	0
"Seq37"	0	0	100	221	1043	0	385	458	277	0	293	292	89	92	45	719	45	198	0	181	375	81	362	315	739	48	271	0	37	45	0	792	21	0	0	416	0	704	481	63	187	0	53	0	86	0	0	707	570	421	32	89	62	56	0	179	149	68	0	73	56	140	188	0	53	79	776	104	219	35	204	570	0	202	557	92	162	0	525	270	166	53	379	307	54	376	146	164	131	187	196	0	0
