"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","connectance","fixed"
"340",11,6,0,6,6,20,4,0,0,1,31,0,14,0,5,0,126,1,27,0,0,7,3,0,0,8,11,4,0,0,0,8,0,0,5,1,0,0,1,9,8,3,0,0,2,2,1,3,0,150,0,100
"341",1,0,0,7,0,6,3,5,14,13,159,0,9,4,0,0,58,1,0,0,0,47,2,2,2,3,0,71,2,0,3,0,0,1,1,0,3,0,0,2,2,0,0,4,2,0,5,41,10,1,0,100
"342",0,0,0,0,0,13,88,2,0,12,0,3,10,4,0,24,27,3,3,0,49,2,0,29,2,0,0,72,7,13,1,0,5,10,19,0,0,30,2,5,36,0,0,0,0,0,0,13,0,0,0,100
"343",0,0,45,0,16,20,0,5,0,0,4,1,0,4,5,2,0,0,0,11,0,13,5,0,0,1,176,0,0,3,0,0,6,1,0,32,0,0,12,0,0,0,0,9,1,112,0,0,0,0,0,100
"344",1,27,8,0,4,0,4,20,1,0,63,0,0,7,2,0,0,0,0,11,0,4,0,28,7,0,0,13,1,9,3,17,76,0,14,17,3,0,10,0,0,11,0,0,36,0,9,1,7,70,0,100
"345",0,0,4,1,5,0,40,5,7,132,53,4,0,8,4,0,0,0,0,0,1,1,0,3,30,1,22,0,9,0,46,1,1,0,4,0,0,8,22,20,0,0,31,0,0,14,0,1,6,0,0,100
"346",0,0,3,0,0,6,0,1,3,3,0,1,7,0,43,29,29,20,4,0,1,0,0,0,1,1,74,3,34,0,1,28,0,0,23,0,0,0,101,15,0,0,35,1,2,14,1,0,0,0,0,100
"347",0,0,5,75,6,0,0,27,16,11,0,7,3,4,1,0,0,2,109,0,0,58,0,0,0,1,0,0,0,3,0,0,0,0,13,24,2,5,1,0,1,1,35,1,0,7,54,0,0,12,0,100
"348",5,0,1,25,1,0,0,1,0,54,20,2,112,0,0,0,17,0,47,0,0,0,1,3,0,0,17,0,0,1,2,32,4,27,1,0,27,5,54,23,0,2,0,0,0,0,0,0,0,0,0,100
"349",0,0,0,0,0,9,63,51,8,9,68,0,0,6,0,12,0,0,0,0,1,0,2,0,26,1,35,0,0,0,98,11,4,1,3,2,0,0,1,4,0,9,0,0,5,2,1,52,0,0,0,100
"350",0,0,2,0,0,17,135,40,0,14,0,2,1,32,0,1,0,0,28,0,20,0,0,18,0,4,3,32,11,0,0,0,0,29,0,1,0,0,0,0,3,0,0,1,3,1,0,3,19,64,0,100
"351",0,6,3,0,2,1,28,54,0,0,5,3,7,12,0,0,35,1,0,1,17,1,36,0,5,0,13,0,3,17,9,0,3,0,16,0,0,25,53,0,2,51,65,0,0,0,0,0,0,10,0,100
"352",0,0,12,0,4,0,0,0,0,3,0,0,14,6,23,0,2,48,14,0,0,1,0,1,0,43,2,0,11,6,13,0,2,11,0,5,0,5,1,1,0,0,28,0,0,8,207,1,12,0,0,100
"353",71,19,8,1,2,74,2,0,0,0,48,0,0,63,24,7,0,2,0,0,0,0,0,4,19,14,0,0,2,8,0,0,13,0,0,0,17,0,0,0,0,3,1,2,2,43,1,21,11,2,0,100
"354",0,3,9,0,2,0,0,0,63,0,5,0,52,0,17,0,0,0,51,1,0,5,0,14,0,4,10,57,0,2,8,0,0,0,0,0,36,0,0,4,62,1,17,0,32,2,20,7,0,0,0,100
"355",11,4,1,2,6,0,1,55,0,48,14,75,15,4,0,0,0,0,0,5,0,3,29,1,86,0,0,0,0,0,4,56,0,0,0,9,4,20,0,0,0,2,0,0,0,14,1,1,10,3,0,100
"356",0,6,0,9,0,0,36,0,0,0,0,0,6,2,1,4,26,0,0,2,0,0,7,2,0,3,73,28,0,2,0,4,1,0,95,3,0,10,0,42,13,0,0,101,2,2,0,3,1,0,0,100
"357",0,3,4,3,1,0,0,8,85,14,0,0,3,4,42,3,0,21,4,78,23,11,1,2,6,0,0,0,30,1,9,2,0,0,0,82,1,1,0,1,1,0,0,17,1,3,0,0,18,1,0,100
"358",0,0,49,23,1,13,0,0,0,7,0,0,3,31,7,14,24,0,3,74,82,0,14,0,0,0,0,13,28,4,4,0,24,5,0,16,0,1,4,0,6,23,8,0,3,0,0,0,0,0,0,100
"359",79,8,0,91,0,19,2,3,0,0,22,11,3,17,0,3,0,26,12,0,0,0,8,0,2,2,0,11,4,2,0,1,9,20,6,0,12,0,0,19,0,0,0,2,1,0,11,9,4,65,0,100
"360",0,0,3,37,3,0,14,29,0,0,3,1,21,0,0,0,0,3,0,41,54,0,26,0,0,0,0,6,0,10,3,4,0,0,3,0,5,0,1,0,0,2,8,152,12,4,0,39,0,0,0,100
"361",0,0,0,10,75,5,89,0,1,0,0,4,1,28,18,0,28,5,27,31,0,0,55,18,0,1,2,0,0,0,0,7,0,7,0,0,7,17,14,0,1,11,0,0,8,13,0,0,0,1,0,100
"362",12,0,0,3,4,58,18,8,3,2,0,109,0,0,0,60,2,0,18,0,16,4,33,3,1,0,13,3,0,0,0,0,1,9,0,7,1,0,27,2,1,0,1,0,0,5,0,18,25,17,0,100
"363",0,1,0,0,4,1,36,4,14,0,0,11,1,0,15,0,0,5,12,0,4,0,1,10,0,0,0,71,46,24,6,0,10,0,3,4,83,0,0,0,3,3,0,4,49,0,0,0,59,0,0,100
