sample.x	sample.y	jsd
ERR2493606	ERR2493561	0.0451941050921938
ERR2493607	ERR2493561	0.0659819901961423
ERR2493608	ERR2493561	0.0429499376068355
ERR2493609	ERR2493561	0.0668861231025887
ERR2493610	ERR2493561	0.0411409732322232
ERR2493611	ERR2493561	0.0646972572787049
ERR2493612	ERR2493561	0.0436694909378229
ERR2493613	ERR2493561	0.0629489810628274
ERR2493614	ERR2493561	0.097837774579866
ERR2493615	ERR2493561	0.0538363076818753
ERR2493616	ERR2493561	0.0769163437482851
ERR2493617	ERR2493561	0.0604453873290831
ERR2493618	ERR2493561	0.0686353671005005
ERR2493619	ERR2493561	0.0622447331313462
ERR2493620	ERR2493561	0.0418400318767163
ERR2493621	ERR2493561	0.0503703353197359
ERR2493622	ERR2493561	0.0430333869272699
ERR2493623	ERR2493561	0.0885980091284722
ERR2493624	ERR2493561	0.0644393584048712
ERR2493625	ERR2493561	0.0378178641061104
ERR2493626	ERR2493561	0.107217115841323
ERR2493627	ERR2493561	0.046913501734243
ERR2493628	ERR2493561	0.0770710032316579
ERR2493629	ERR2493561	0.0408154865672677
ERR2493630	ERR2493561	0.0748031822549688
ERR2493631	ERR2493561	0.0467821956334355
ERR2493632	ERR2493561	0.0651104123380162
ERR2493633	ERR2493561	0.0418334569011993
ERR2493634	ERR2493561	0.126881049822084
ERR2493635	ERR2493561	0.0535609827501871
ERR2493636	ERR2493561	0.105490708003574
ERR2493637	ERR2493561	0.054876298967724
ERR2493638	ERR2493561	0.0841303504292111
ERR2493639	ERR2493561	0.0471632791027281
ERR2493640	ERR2493561	0.0510965137564511
ERR2493641	ERR2493561	0.0767581658807748
ERR2493642	ERR2493561	0.0528755548356299
ERR2493643	ERR2493561	0.104376730439436
ERR2493644	ERR2493561	0.082941780426058
ERR2493645	ERR2493561	0.0909113620759644
ERR2493646	ERR2493561	0.0393874618734395
ERR2493647	ERR2493561	0.0618573885104425
ERR2493648	ERR2493561	0.0363676594238885
ERR2493649	ERR2493561	0.0655655532329912
ERR2493560	ERR2493562	0.045492549150613
ERR2493561	ERR2493562	0.0622539055562819
ERR2493562	ERR2493562	0
ERR2493563	ERR2493562	0.0616938490757303
ERR2493564	ERR2493562	0.0192367588667095
ERR2493565	ERR2493562	0.0216712713257997
ERR2493566	ERR2493562	0.0226334354737421
ERR2493567	ERR2493562	0.0804486861855994
ERR2493568	ERR2493562	0.0288012584250235
ERR2493569	ERR2493562	0.065252329926422
ERR2493570	ERR2493562	0.0452074831357284
ERR2493571	ERR2493562	0.0081906941405332
ERR2493572	ERR2493562	0.0750204484523706
ERR2493573	ERR2493562	0.00772563056885681
ERR2493574	ERR2493562	0.0871232902172642
ERR2493575	ERR2493562	0.00310321747799586
ERR2493576	ERR2493562	0.0639867422255342
ERR2493577	ERR2493562	0.0102706835662324
ERR2493578	ERR2493562	0.0438314732389347
ERR2493579	ERR2493562	0.0349034814385875
ERR2493580	ERR2493562	0.0126362572016998
ERR2493581	ERR2493562	0.0434078870732547
ERR2493582	ERR2493562	0.013703109679281
ERR2493583	ERR2493562	0.0651843541697559
ERR2493584	ERR2493562	0.0189086015536414
ERR2493585	ERR2493562	0.0536039044250244
ERR2493586	ERR2493562	0.0213180324158342
ERR2493587	ERR2493562	0.0429784387851361
ERR2493588	ERR2493562	0.0540393077647669
ERR2493589	ERR2493562	0.00782742829972185
ERR2493590	ERR2493562	0.0701916244076839
ERR2493591	ERR2493562	0.0216113162157836
ERR2493592	ERR2493562	0.0625780720263133
ERR2493593	ERR2493562	0.0224498494462194
ERR2493594	ERR2493562	0.114971390817525
ERR2493595	ERR2493562	0.0223598823014176
ERR2493596	ERR2493562	0.0383620210315418
ERR2493597	ERR2493562	0.0404440554757069
ERR2493598	ERR2493562	0.0114428441717408
ERR2493599	ERR2493562	0.0903710737961672
ERR2493600	ERR2493562	0.0244663065229963
ERR2493601	ERR2493562	0.0564642785940515
ERR2493602	ERR2493562	0.00675269476168252
ERR2493603	ERR2493562	0.103695015793772
ERR2493604	ERR2493562	0.0172428531590488
ERR2493605	ERR2493562	0.059281927397876
ERR2493606	ERR2493562	0.0562401220219496
ERR2493607	ERR2493562	0.0159990215733126
ERR2493608	ERR2493562	0.0393466614090209
ERR2493609	ERR2493562	0.00342454890039796
ERR2493610	ERR2493562	0.0346310790670745
ERR2493611	ERR2493562	0.0139962158498184
ERR2493612	ERR2493562	0.0337311614736212
ERR2493613	ERR2493562	0.019177501984105
ERR2493614	ERR2493562	0.0629544280222053
ERR2493615	ERR2493562	0.0718992963022176
ERR2493616	ERR2493562	0.0189647404047122
ERR2493617	ERR2493562	0.0695517370958326
ERR2493618	ERR2493562	0.031257886142144
ERR2493619	ERR2493562	0.0832564717101139
ERR2493620	ERR2493562	0.0785218646080146
ERR2493621	ERR2493562	0.00977795089953551
ERR2493622	ERR2493562	0.0308122070524806
ERR2493623	ERR2493562	0.0534046796500125
ERR2493624	ERR2493562	0.027778629231472
ERR2493625	ERR2493562	0.0455359090347271
ERR2493626	ERR2493562	0.0276006647746113
ERR2493627	ERR2493562	0.0265889136121774
ERR2493628	ERR2493562	0.0146431807200058
ERR2493629	ERR2493562	0.0107049612529511
ERR2493630	ERR2493562	0.0139339426413163
ERR2493631	ERR2493562	0.01512557453254
ERR2493632	ERR2493562	0.0297979220631276
ERR2493633	ERR2493562	0.0583784325950092
ERR2493634	ERR2493562	0.0400259956895876
ERR2493635	ERR2493562	0.0552657279637141
ERR2493636	ERR2493562	0.0306488828254763
ERR2493637	ERR2493562	0.0435569760867202
ERR2493638	ERR2493562	0.0178091817224837
ERR2493639	ERR2493562	0.0251495483531113
ERR2493640	ERR2493562	0.0109503826398223
ERR2493641	ERR2493562	0.0393500107451595
ERR2493642	ERR2493562	0.0168846580666588
ERR2493643	ERR2493562	0.0230129798367636
